dB;value;diff;
10;1,0000000000;;
9;0,9735000000;0,0265;
8;0,9469999700;0,0265;
7;0,9205000000;0,0265;
6;0,8940000000;0,0265;
5;0,8674999500;0,0265;
4;0,8409999600;0,0265;
3;0,8145000000;0,0265;
2;0,7880000000;0,0265;
1;0,7615000000;0,0265;
0;0,7350000000;0,0265;
-1;0,7084999700;0,0265;
-2;0,6820000000;0,0265;
-3;0,6555000000;0,0265;
-4;0,6290000000;0,0265;
-5;0,6024999600;0,0265;
-6;0,5760000000;0,0265;
-7;0,5495000000;0,0265;
-8;0,5230000000;0,0265;
-9;0,4965000000;0,0265;
-10;0,4700000000;0,0265;
-11;0,4573333300;0,0127;Change in scale
-12;0,4446666500;0,0127;
-13;0,4319999800;0,0127;
-14;0,4193333400;0,0127;
-15;0,4066666700;0,0127;
-16;0,3940000000;0,0127;
-17;0,3813333200;0,0127;
-18;0,3686666800;0,0127;
-19;0,3560000000;0,0127;
-20;0,3433333300;0,0127;
-21;0,3306666600;0,0127;
-22;0,3180000200;0,0127;
-23;0,3053333200;0,0127;
-24;0,2926666700;0,0127;
-25;0,2800000000;0,0127;
-26;0,2673333300;0,0127;
-27;0,2546667000;0,0127;
-28;0,2420000000;0,0127;
-29;0,2293333400;0,0127;
-30;0,2166666700;0,0127;
-31;0,2040000000;0,0127;
-32;0,1913333400;0,0127;
-33;0,1786666700;0,0127;
-34;0,1660000400;0,0127;
-35;0,1533333400;0,0127;
-36;0,1406666200;0,0127;
-37;0,1280000000;0,0127;
-38;0,1153333300;0,0127;
-39;0,1026666240;0,0127;
-40;0,0900000000;0,0127;
-41;0,0857000050;0,0043;Change in scale
-42;0,0814000200;0,0043;
-43;0,0771000100;0,0043;
-44;0,0728000000;0,0043;
-45;0,0685000050;0,0043;
-46;0,0642000000;0,0043;
-47;0,0599000000;0,0043;
-48;0,0556000060;0,0043;
-49;0,0513000040;0,0043;
-50;0,0470000020;0,0043;
-51;0,0427000000;0,0043;
-52;0,0384000000;0,0043;
-53;0,0341000000;0,0043;
-54;0,0298000030;0,0043;
-55;0,0255000010;0,0043;
-56;0,0212000010;0,0043;
-57;0,0169000010;0,0043;
-58;0,0126000010;0,0043;
-59;0,0083000010;0,0043;
-60;0,0040000000;0,0043;
-61;0,0038888890;0,0001;Change in scale
-62;0,0037777778;0,0001;
-63;0,0036666670;0,0001;
-64;0,0035555558;0,0001;
-65;0,0034444446;0,0001;
-66;0,0033333334;0,0001;
-67;0,0032222224;0,0001;
-68;0,0031111112;0,0001;
-69;0,0030000000;0,0001;
-70;0,0028888890;0,0001;
-71;0,0027777778;0,0001;
-72;0,0026666669;0,0001;
-73;0,0025555557;0,0001;
-74;0,0024444445;0,0001;
-75;0,0023333333;0,0001;
-76;0,0022222225;0,0001;
-77;0,0021111113;0,0001;
-78;0,0020000000;0,0001;
-79;0,0018888889;0,0001;
-80;0,0017777779;0,0001;
-81;0,0016666667;0,0001;
-82;0,0015555556;0,0001;
-83;0,0014444445;0,0001;
-84;0,0013333334;0,0001;
-85;0,0012222222;0,0001;
-86;0,0011111113;0,0001;
-87;0,0010000000;0,0001;
-88;0,0008888890;0,0001;
-89;0,0007777778;0,0001;
-90;0,0006666667;0,0001;
-91;0,0005555556;0,0001;
-92;0,0004444445;0,0001;
-93;0,0003333334;0,0001;
-94;0,0002222222;0,0001;
-95;0,0001111111;0,0001;
-96;0,0000000000;0,0001;
